Year,Month,Day,Hour,MW
2023,9,1,1,27664.68
2023,9,1,2,26283.67
2023,9,1,3,25274.9
2023,9,1,4,24711.68
2023,9,1,5,24769.09
2023,9,1,6,25543.45
2023,9,1,7,26953.61
2023,9,1,8,27729.03
2023,9,1,9,27820.77
2023,9,1,10,27865.29
2023,9,1,11,27910.62
2023,9,1,12,28162.38
2023,9,1,13,28658.39
2023,9,1,14,29613.73
2023,9,1,15,30782.02
2023,9,1,16,32157.24
2023,9,1,17,33097.63
2023,9,1,18,33830.16
2023,9,1,19,34049.4
2023,9,1,20,33793.98
2023,9,1,21,33029.69
2023,9,1,22,31899.91
2023,9,1,23,30239.24
2023,9,1,24,28390.05
2023,9,2,1,26435.65
2023,9,2,2,25291.69
2023,9,2,3,24349.31
2023,9,2,4,23737.28
2023,9,2,5,23593.15
2023,9,2,6,23759.5
2023,9,2,7,24120.78
2023,9,2,8,24262.61
2023,9,2,9,24371.15
2023,9,2,10,24301.85
2023,9,2,11,23973.48
2023,9,2,12,23737.76
2023,9,2,13,23994.43
2023,9,2,14,24616.27
2023,9,2,15,25753.18
2023,9,2,16,27130.77
2023,9,2,17,28586.37
2023,9,2,18,29869.5
2023,9,2,19,30486.29
2023,9,2,20,30851.52
2023,9,2,21,30447.59
2023,9,2,22,29663.52
2023,9,2,23,28447.64
2023,9,2,24,26830.43
2023,9,3,1,25553.31
2023,9,3,2,24460.85
2023,9,3,3,23554.97
2023,9,3,4,22970.17
2023,9,3,5,22685.47
2023,9,3,6,22600.73
2023,9,3,7,22650.75
2023,9,3,8,22761.35
2023,9,3,9,22705.44
2023,9,3,10,22679.47
2023,9,3,11,22499.64
2023,9,3,12,22378.75
2023,9,3,13,22187.03
2023,9,3,14,22251.47
2023,9,3,15,22864.94
2023,9,3,16,23818.44
2023,9,3,17,24921.41
2023,9,3,18,26564.87
2023,9,3,19,27718.71
2023,9,3,20,28428.96
2023,9,3,21,28191.87
2023,9,3,22,27592.61
2023,9,3,23,26337.3
2023,9,3,24,24686.21
2023,9,4,1,24264.61
2023,9,4,2,23156.63
2023,9,4,3,22312.79
2023,9,4,4,21743.94
2023,9,4,5,21510.29
2023,9,4,6,21677.42
2023,9,4,7,21968.71
2023,9,4,8,21835.08
2023,9,4,9,21406.33
2023,9,4,10,20859.32
2023,9,4,11,20255.51
2023,9,4,12,19999.21
2023,9,4,13,20256.01
2023,9,4,14,21150.23
2023,9,4,15,22472.73
2023,9,4,16,24340.28
2023,9,4,17,26098.06
2023,9,4,18,28238.16
2023,9,4,19,29349.97
2023,9,4,20,29874.82
2023,9,4,21,29495.1
2023,9,4,22,28350.68
2023,9,4,23,26479.52
2023,9,4,24,24789.06
2023,9,5,1,23790.7
2023,9,5,2,22798.91
2023,9,5,3,22061.24
2023,9,5,4,21697.09
2023,9,5,5,21903.18
2023,9,5,6,22944.49
2023,9,5,7,24420.72
2023,9,5,8,25059.81
2023,9,5,9,24685.33
2023,9,5,10,23851.85
2023,9,5,11,23032.18
2023,9,5,12,22753.82
2023,9,5,13,22999.42
2023,9,5,14,23956.48
2023,9,5,15,25436.54
2023,9,5,16,27693.58
2023,9,5,17,29442.98
2023,9,5,18,31029.05
2023,9,5,19,31756.68
2023,9,5,20,31928.52
2023,9,5,21,31304.59
2023,9,5,22,30021.0
2023,9,5,23,27894.16
2023,9,5,24,25944.7
2023,9,6,1,24381.51
2023,9,6,2,23328.48
2023,9,6,3,22632.73
2023,9,6,4,22247.65
2023,9,6,5,22491.44
2023,9,6,6,23518.08
2023,9,6,7,24985.96
2023,9,6,8,25558.32
2023,9,6,9,25074.35
2023,9,6,10,24286.12
2023,9,6,11,23354.95
2023,9,6,12,23155.54
2023,9,6,13,23536.12
2023,9,6,14,24641.65
2023,9,6,15,26404.81
2023,9,6,16,28391.4
2023,9,6,17,30273.08
2023,9,6,18,31934.72
2023,9,6,19,32937.6
2023,9,6,20,32917.98
2023,9,6,21,31980.34
2023,9,6,22,30489.82
2023,9,6,23,28321.65
2023,9,6,24,26347.65
2023,9,7,1,25372.43
2023,9,7,2,24242.42
2023,9,7,3,23373.57
2023,9,7,4,22899.53
2023,9,7,5,23077.47
2023,9,7,6,24034.47
2023,9,7,7,25604.5
2023,9,7,8,26585.31
2023,9,7,9,26098.2
2023,9,7,10,25258.62
2023,9,7,11,24866.9
2023,9,7,12,24950.46
2023,9,7,13,25604.32
2023,9,7,14,26852.38
2023,9,7,15,28588.63
2023,9,7,16,30529.3
2023,9,7,17,32317.05
2023,9,7,18,33781.16
2023,9,7,19,34441.46
2023,9,7,20,34234.67
2023,9,7,21,33174.45
2023,9,7,22,31640.4
2023,9,7,23,29407.34
2023,9,7,24,27240.27
2023,9,8,1,25933.97
2023,9,8,2,24702.35
2023,9,8,3,23749.69
2023,9,8,4,23214.55
2023,9,8,5,23273.83
2023,9,8,6,24184.99
2023,9,8,7,25684.11
2023,9,8,8,26408.54
2023,9,8,9,26245.33
2023,9,8,10,25848.1
2023,9,8,11,25798.45
2023,9,8,12,26246.49
2023,9,8,13,27293.5
2023,9,8,14,29057.91
2023,9,8,15,31173.05
2023,9,8,16,33294.21
2023,9,8,17,34910.6
2023,9,8,18,35993.79
2023,9,8,19,36321.45
2023,9,8,20,35868.15
2023,9,8,21,34756.16
2023,9,8,22,33268.25
2023,9,8,23,31157.8
2023,9,8,24,28945.02
2023,9,9,1,27640.25
2023,9,9,2,26053.11
2023,9,9,3,24937.41
2023,9,9,4,24125.76
2023,9,9,5,23767.34
2023,9,9,6,23856.8
2023,9,9,7,24191.08
2023,9,9,8,24234.25
2023,9,9,9,24178.68
2023,9,9,10,24226.7
2023,9,9,11,24598.07
2023,9,9,12,25367.59
2023,9,9,13,26697.08
2023,9,9,14,28443.36
2023,9,9,15,30474.84
2023,9,9,16,32692.88
2023,9,9,17,34334.76
2023,9,9,18,35927.03
2023,9,9,19,36796.91
2023,9,9,20,36295.46
2023,9,9,21,35080.91
2023,9,9,22,33530.4
2023,9,9,23,31642.18
2023,9,9,24,29404.04
2023,9,10,1,27484.86
2023,9,10,2,25923.58
2023,9,10,3,24812.71
2023,9,10,4,24097.66
2023,9,10,5,23619.92
2023,9,10,6,23453.81
2023,9,10,7,23589.59
2023,9,10,8,23642.35
2023,9,10,9,23525.99
2023,9,10,10,23672.41
2023,9,10,11,24115.08
2023,9,10,12,25029.06
2023,9,10,13,26382.39
2023,9,10,14,28134.74
2023,9,10,15,30353.52
2023,9,10,16,32623.03
2023,9,10,17,34290.63
2023,9,10,18,35890.5
2023,9,10,19,36393.75
2023,9,10,20,35988.38
2023,9,10,21,34786.02
2023,9,10,22,33315.82
2023,9,10,23,31090.07
2023,9,10,24,28787.9
2023,9,11,1,26907.86
2023,9,11,2,25608.5
2023,9,11,3,24612.52
2023,9,11,4,24205.28
2023,9,11,5,24449.27
2023,9,11,6,25422.98
2023,9,11,7,27062.38
2023,9,11,8,28199.89
2023,9,11,9,28483.06
2023,9,11,10,28473.94
2023,9,11,11,28800.12
2023,9,11,12,29730.01
2023,9,11,13,31032.29
2023,9,11,14,32881.64
2023,9,11,15,34788.75
2023,9,11,16,36705.72
2023,9,11,17,38102.94
2023,9,11,18,38776.85
2023,9,11,19,38500.78
2023,9,11,20,37648.07
2023,9,11,21,36410.56
2023,9,11,22,34583.6
2023,9,11,23,32202.27
2023,9,11,24,29745.16
2023,9,12,1,27037.82
2023,9,12,2,25621.22
2023,9,12,3,24650.03
2023,9,12,4,24034.06
2023,9,12,5,24125.95
2023,9,12,6,25137.08
2023,9,12,7,26791.59
2023,9,12,8,27708.73
2023,9,12,9,27601.86
2023,9,12,10,27180.11
2023,9,12,11,27033.21
2023,9,12,12,27355.1
2023,9,12,13,28170.39
2023,9,12,14,29687.94
2023,9,12,15,31242.47
2023,9,12,16,33532.61
2023,9,12,17,35224.15
2023,9,12,18,36322.01
2023,9,12,19,36259.53
2023,9,12,20,35626.27
2023,9,12,21,34416.54
2023,9,12,22,32764.32
2023,9,12,23,30496.73
2023,9,12,24,28237.37
2023,9,13,1,26071.14
2023,9,13,2,24879.56
2023,9,13,3,23866.17
2023,9,13,4,23364.84
2023,9,13,5,23496.13
2023,9,13,6,24460.41
2023,9,13,7,26191.09
2023,9,13,8,27001.82
2023,9,13,9,26640.94
2023,9,13,10,25804.12
2023,9,13,11,25062.91
2023,9,13,12,24890.17
2023,9,13,13,25356.06
2023,9,13,14,26599.59
2023,9,13,15,28207.88
2023,9,13,16,29978.61
2023,9,13,17,31812.06
2023,9,13,18,33243.85
2023,9,13,19,33573.37
2023,9,13,20,33579.83
2023,9,13,21,32524.78
2023,9,13,22,31074.67
2023,9,13,23,28969.18
2023,9,13,24,26926.42
2023,9,14,1,25170.43
2023,9,14,2,24018.28
2023,9,14,3,23095.68
2023,9,14,4,22657.86
2023,9,14,5,22817.77
2023,9,14,6,23815.2
2023,9,14,7,25525.72
2023,9,14,8,26301.82
2023,9,14,9,25882.22
2023,9,14,10,25081.82
2023,9,14,11,24404.76
2023,9,14,12,24229.79
2023,9,14,13,24703.1
2023,9,14,14,25995.29
2023,9,14,15,27711.66
2023,9,14,16,29691.12
2023,9,14,17,31480.86
2023,9,14,18,32864.57
2023,9,14,19,33256.88
2023,9,14,20,33156.02
2023,9,14,21,32036.81
2023,9,14,22,30555.46
2023,9,14,23,28559.08
2023,9,14,24,26581.07
2023,9,15,1,25230.23
2023,9,15,2,23986.37
2023,9,15,3,23136.6
2023,9,15,4,22680.57
2023,9,15,5,22889.35
2023,9,15,6,23840.57
2023,9,15,7,25476.6
2023,9,15,8,26308.97
2023,9,15,9,25950.09
2023,9,15,10,25245.99
2023,9,15,11,24587.93
2023,9,15,12,24232.38
2023,9,15,13,24558.38
2023,9,15,14,26020.94
2023,9,15,15,28037.71
2023,9,15,16,30119.74
2023,9,15,17,31949.12
2023,9,15,18,33256.57
2023,9,15,19,33838.2
2023,9,15,20,33496.61
2023,9,15,21,32094.48
2023,9,15,22,30746.26
2023,9,15,23,28757.41
2023,9,15,24,26813.57
2023,9,16,1,25457.2
2023,9,16,2,24199.96
2023,9,16,3,23268.31
2023,9,16,4,22570.48
2023,9,16,5,22383.55
2023,9,16,6,22618.4
2023,9,16,7,23145.01
2023,9,16,8,23510.73
2023,9,16,9,23235.21
2023,9,16,10,22557.38
2023,9,16,11,21916.76
2023,9,16,12,21610.18
2023,9,16,13,22010.37
2023,9,16,14,23017.29
2023,9,16,15,24656.22
2023,9,16,16,26830.52
2023,9,16,17,28742.13
2023,9,16,18,30721.71
2023,9,16,19,31347.45
2023,9,16,20,31071.74
2023,9,16,21,30026.4
2023,9,16,22,28973.87
2023,9,16,23,27520.72
2023,9,16,24,25805.24
2023,9,17,1,24282.7
2023,9,17,2,23252.7
2023,9,17,3,22441.86
2023,9,17,4,21924.59
2023,9,17,5,21709.71
2023,9,17,6,21777.45
2023,9,17,7,21849.98
2023,9,17,8,21648.95
2023,9,17,9,21423.86
2023,9,17,10,20838.31
2023,9,17,11,20165.67
2023,9,17,12,19613.59
2023,9,17,13,19635.1
2023,9,17,14,20387.11
2023,9,17,15,21824.15
2023,9,17,16,23820.36
2023,9,17,17,25764.72
2023,9,17,18,27572.6
2023,9,17,19,28461.64
2023,9,17,20,28862.4
2023,9,17,21,28133.66
2023,9,17,22,27100.75
2023,9,17,23,25582.61
2023,9,17,24,24015.57
2023,9,18,1,23228.17
2023,9,18,2,22378.15
2023,9,18,3,21746.21
2023,9,18,4,21458.44
2023,9,18,5,21813.38
2023,9,18,6,23011.87
2023,9,18,7,24843.2
2023,9,18,8,25788.19
2023,9,18,9,25560.6
2023,9,18,10,24870.5
2023,9,18,11,23994.21
2023,9,18,12,23245.52
2023,9,18,13,22884.45
2023,9,18,14,23086.67
2023,9,18,15,23981.65
2023,9,18,16,25413.83
2023,9,18,17,27008.97
2023,9,18,18,28661.45
2023,9,18,19,29437.97
2023,9,18,20,29934.06
2023,9,18,21,29057.62
2023,9,18,22,27835.61
2023,9,18,23,26017.27
2023,9,18,24,24337.46
2023,9,19,1,23559.66
2023,9,19,2,22603.77
2023,9,19,3,21952.32
2023,9,19,4,21576.95
2023,9,19,5,21872.58
2023,9,19,6,22985.91
2023,9,19,7,24670.0
2023,9,19,8,25629.37
2023,9,19,9,25415.99
2023,9,19,10,24542.08
2023,9,19,11,23435.78
2023,9,19,12,22818.4
2023,9,19,13,22881.33
2023,9,19,14,23551.27
2023,9,19,15,24934.83
2023,9,19,16,26713.17
2023,9,19,17,28546.78
2023,9,19,18,30014.39
2023,9,19,19,30525.51
2023,9,19,20,30914.13
2023,9,19,21,29978.42
2023,9,19,22,28588.09
2023,9,19,23,26699.14
2023,9,19,24,24932.63
2023,9,20,1,23733.88
2023,9,20,2,22730.36
2023,9,20,3,22039.79
2023,9,20,4,21719.98
2023,9,20,5,22028.69
2023,9,20,6,22983.31
2023,9,20,7,24784.75
2023,9,20,8,25521.25
2023,9,20,9,25233.54
2023,9,20,10,24336.41
2023,9,20,11,23263.67
2023,9,20,12,22606.17
2023,9,20,13,22513.51
2023,9,20,14,23108.89
2023,9,20,15,24397.59
2023,9,20,16,26025.39
2023,9,20,17,27714.27
2023,9,20,18,29286.8
2023,9,20,19,30131.61
2023,9,20,20,30511.46
2023,9,20,21,29511.51
2023,9,20,22,28501.91
2023,9,20,23,26675.0
2023,9,20,24,24820.88
2023,9,21,1,24031.13
2023,9,21,2,23079.32
2023,9,21,3,22384.41
2023,9,21,4,22005.58
2023,9,21,5,22219.28
2023,9,21,6,23131.42
2023,9,21,7,24879.83
2023,9,21,8,25764.43
2023,9,21,9,25319.21
2023,9,21,10,24352.77
2023,9,21,11,23281.4
2023,9,21,12,22543.49
2023,9,21,13,22313.99
2023,9,21,14,22750.69
2023,9,21,15,23595.36
2023,9,21,16,25058.87
2023,9,21,17,26771.46
2023,9,21,18,28152.2
2023,9,21,19,29191.88
2023,9,21,20,29587.47
2023,9,21,21,28865.04
2023,9,21,22,27784.69
2023,9,21,23,26164.86
2023,9,21,24,24511.58
2023,9,22,1,23430.2
2023,9,22,2,22588.97
2023,9,22,3,21918.15
2023,9,22,4,21580.34
2023,9,22,5,21851.83
2023,9,22,6,22802.13
2023,9,22,7,24477.91
2023,9,22,8,25282.55
2023,9,22,9,25087.14
2023,9,22,10,24126.48
2023,9,22,11,23334.19
2023,9,22,12,22732.24
2023,9,22,13,22412.78
2023,9,22,14,22564.61
2023,9,22,15,23394.78
2023,9,22,16,24802.14
2023,9,22,17,26424.03
2023,9,22,18,27653.79
2023,9,22,19,28784.4
2023,9,22,20,29271.02
2023,9,22,21,28501.1
2023,9,22,22,27775.56
2023,9,22,23,26251.04
2023,9,22,24,24664.97
2023,9,23,1,23270.35
2023,9,23,2,22264.17
2023,9,23,3,21586.24
2023,9,23,4,21182.39
2023,9,23,5,21039.44
2023,9,23,6,21301.74
2023,9,23,7,21817.78
2023,9,23,8,21907.2
2023,9,23,9,21569.31
2023,9,23,10,20514.92
2023,9,23,11,19405.01
2023,9,23,12,18551.1
2023,9,23,13,18317.92
2023,9,23,14,18792.03
2023,9,23,15,20013.99
2023,9,23,16,21851.78
2023,9,23,17,23951.05
2023,9,23,18,25842.72
2023,9,23,19,27031.37
2023,9,23,20,27642.71
2023,9,23,21,27038.04
2023,9,23,22,26222.06
2023,9,23,23,24918.39
2023,9,23,24,23619.54
2023,9,24,1,22463.82
2023,9,24,2,21530.79
2023,9,24,3,20847.69
2023,9,24,4,20431.75
2023,9,24,5,20270.38
2023,9,24,6,20331.38
2023,9,24,7,20533.25
2023,9,24,8,20260.73
2023,9,24,9,19810.0
2023,9,24,10,18865.89
2023,9,24,11,17901.32
2023,9,24,12,17430.93
2023,9,24,13,17559.65
2023,9,24,14,18260.61
2023,9,24,15,19709.42
2023,9,24,16,21845.44
2023,9,24,17,23984.68
2023,9,24,18,25927.19
2023,9,24,19,27071.29
2023,9,24,20,27598.72
2023,9,24,21,27043.96
2023,9,24,22,26058.03
2023,9,24,23,24481.1
2023,9,24,24,22957.36
2023,9,25,1,22154.8
2023,9,25,2,21332.98
2023,9,25,3,20870.63
2023,9,25,4,20720.83
2023,9,25,5,21221.14
2023,9,25,6,22383.14
2023,9,25,7,24164.19
2023,9,25,8,25080.48
2023,9,25,9,24866.67
2023,9,25,10,24027.96
2023,9,25,11,23202.83
2023,9,25,12,22470.25
2023,9,25,13,22553.5
2023,9,25,14,23266.94
2023,9,25,15,24438.11
2023,9,25,16,26026.16
2023,9,25,17,27700.61
2023,9,25,18,29138.87
2023,9,25,19,30251.81
2023,9,25,20,30542.79
2023,9,25,21,29581.25
2023,9,25,22,28203.39
2023,9,25,23,26308.61
2023,9,25,24,24545.01
2023,9,26,1,23672.27
2023,9,26,2,22727.05
2023,9,26,3,22075.14
2023,9,26,4,21773.76
2023,9,26,5,22070.84
2023,9,26,6,23102.75
2023,9,26,7,24831.25
2023,9,26,8,25689.96
2023,9,26,9,25502.46
2023,9,26,10,24321.38
2023,9,26,11,22956.13
2023,9,26,12,22445.76
2023,9,26,13,22597.96
2023,9,26,14,23592.05
2023,9,26,15,25154.87
2023,9,26,16,27114.49
2023,9,26,17,29221.26
2023,9,26,18,30884.54
2023,9,26,19,31549.95
2023,9,26,20,31757.58
2023,9,26,21,30602.99
2023,9,26,22,29253.03
2023,9,26,23,27222.46
2023,9,26,24,25301.45
2023,9,27,1,23616.55
2023,9,27,2,22583.38
2023,9,27,3,21899.83
2023,9,27,4,21573.36
2023,9,27,5,21820.35
2023,9,27,6,22836.89
2023,9,27,7,24529.54
2023,9,27,8,25090.91
2023,9,27,9,24724.41
2023,9,27,10,23684.24
2023,9,27,11,22865.46
2023,9,27,12,22554.39
2023,9,27,13,22797.27
2023,9,27,14,23959.16
2023,9,27,15,25638.73
2023,9,27,16,27758.94
2023,9,27,17,29758.2
2023,9,27,18,31269.21
2023,9,27,19,31658.15
2023,9,27,20,31685.0
2023,9,27,21,30417.68
2023,9,27,22,28987.81
2023,9,27,23,26997.93
2023,9,27,24,25050.94
2023,9,28,1,23740.07
2023,9,28,2,22725.7
2023,9,28,3,22060.36
2023,9,28,4,21826.38
2023,9,28,5,22170.64
2023,9,28,6,23078.43
2023,9,28,7,24645.66
2023,9,28,8,25198.62
2023,9,28,9,24779.7
2023,9,28,10,23504.08
2023,9,28,11,22504.89
2023,9,28,12,22046.86
2023,9,28,13,22167.8
2023,9,28,14,23179.07
2023,9,28,15,24892.31
2023,9,28,16,26847.72
2023,9,28,17,28834.7
2023,9,28,18,30646.59
2023,9,28,19,31367.41
2023,9,28,20,31395.2
2023,9,28,21,30247.78
2023,9,28,22,28922.21
2023,9,28,23,26933.62
2023,9,28,24,25008.81
2023,9,29,1,23602.97
2023,9,29,2,22723.62
2023,9,29,3,22047.98
2023,9,29,4,21793.35
2023,9,29,5,22101.83
2023,9,29,6,23049.97
2023,9,29,7,24718.4
2023,9,29,8,25432.29
2023,9,29,9,24607.89
2023,9,29,10,23386.37
2023,9,29,11,22303.43
2023,9,29,12,21736.47
2023,9,29,13,21781.62
2023,9,29,14,22717.01
2023,9,29,15,24021.45
2023,9,29,16,25886.78
2023,9,29,17,27351.78
2023,9,29,18,28555.43
2023,9,29,19,29137.38
2023,9,29,20,29210.56
2023,9,29,21,28155.44
2023,9,29,22,27067.15
2023,9,29,23,25614.54
2023,9,29,24,24200.91
