INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1267.75,DAM,1
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3356.17,DAM,3
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1566.51,DAM,4
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,256.21,DAM,5
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,88.7,DAM,6
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,111.45,DAM,7
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1082.83,DAM,8
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,22.32,DAM,9
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6770.52,DAM,10
