Year,Month,Day,Hour,$/MWh
2023,11,30,24,74.79258
2023,12,1,1,58.0257
2023,12,1,2,57.86824
2023,12,1,3,57.73541
2023,12,1,4,56.72281
2023,12,1,5,58.10744
2023,12,1,6,71.66052
2023,12,1,7,80.20118
2023,12,1,8,68.29981
2023,12,1,9,56.15917
2023,12,1,10,46.41548
2023,12,1,11,40.97585
2023,12,1,12,37.5281
2023,12,1,13,35.62153
2023,12,1,14,35.1344
2023,12,1,15,40.5168
2023,12,1,16,55.76867
2023,12,1,17,74.65475
2023,12,1,18,76.55763
2023,12,1,19,74.5738
2023,12,1,20,73.86027
2023,12,1,21,73.90495
2023,12,1,22,73.89978
2023,12,1,23,72.08342
2023,12,1,24,60.63283
2023,12,2,1,52.11193
2023,12,2,2,49.22358
2023,12,2,3,49.11326
2023,12,2,4,48.96011
2023,12,2,5,48.95049
2023,12,2,6,56.49234
2023,12,2,7,59.54473
2023,12,2,8,53.98631
2023,12,2,9,44.22824
2023,12,2,10,27.44613
2023,12,2,11,25.8952
2023,12,2,12,26.33894
2023,12,2,13,22.96355
2023,12,2,14,23.90292
2023,12,2,15,26.41074
2023,12,2,16,51.86804
2023,12,2,17,64.89711
2023,12,2,18,65.5711
2023,12,2,19,64.74235
2023,12,2,20,63.35605
2023,12,2,21,63.31026
2023,12,2,22,63.95869
2023,12,2,23,63.2407
2023,12,2,24,57.49075
2023,12,3,1,51.23595
2023,12,3,2,51.14635
2023,12,3,3,50.99867
2023,12,3,4,48.62837
2023,12,3,5,51.71668
2023,12,3,6,55.2993
2023,12,3,7,52.72254
2023,12,3,8,49.19642
2023,12,3,9,27.92849
2023,12,3,10,20.93145
2023,12,3,11,20.1103
2023,12,3,12,19.25153
2023,12,3,13,19.02331
2023,12,3,14,19.22121
2023,12,3,15,26.09904
2023,12,3,16,53.37209
2023,12,3,17,65.57031
2023,12,3,18,65.9814
2023,12,3,19,65.46733
2023,12,3,20,64.73962
2023,12,3,21,63.81028
2023,12,3,22,63.28815
2023,12,3,23,57.60202
2023,12,3,24,56.17307
2023,12,4,1,61.05887
2023,12,4,2,58.43967
2023,12,4,3,56.38072
2023,12,4,4,56.33343
2023,12,4,5,57.34049
2023,12,4,6,61.6382
2023,12,4,7,80.07755
2023,12,4,8,71.06527
2023,12,4,9,59.72879
2023,12,4,10,48.22201
2023,12,4,11,44.32966
2023,12,4,12,43.34508
2023,12,4,13,42.23914
2023,12,4,14,42.3674
2023,12,4,15,45.73077
2023,12,4,16,66.93614
2023,12,4,17,84.74934
2023,12,4,18,87.2716
2023,12,4,19,81.83509
2023,12,4,20,79.40835
2023,12,4,21,78.68683
2023,12,4,22,78.07866
2023,12,4,23,67.21983
2023,12,4,24,62.32926
2023,12,5,1,51.84623
2023,12,5,2,50.63634
2023,12,5,3,50.0934
2023,12,5,4,50.02829
2023,12,5,5,50.63957
2023,12,5,6,57.62402
2023,12,5,7,75.20031
2023,12,5,8,65.54927
2023,12,5,9,48.41875
2023,12,5,10,41.02582
2023,12,5,11,38.39371
2023,12,5,12,36.14994
2023,12,5,13,35.41367
2023,12,5,14,35.96354
2023,12,5,15,38.80423
2023,12,5,16,64.23652
2023,12,5,17,79.87489
2023,12,5,18,82.83028
2023,12,5,19,74.31792
2023,12,5,20,73.50003
2023,12,5,21,73.15605
2023,12,5,22,72.38818
2023,12,5,23,62.01928
2023,12,5,24,57.61067
2023,12,6,1,54.86734
2023,12,6,2,53.13283
2023,12,6,3,52.59608
2023,12,6,4,52.65915
2023,12,6,5,53.56749
2023,12,6,6,61.21342
2023,12,6,7,72.50657
2023,12,6,8,65.37166
2023,12,6,9,50.23163
2023,12,6,10,42.91261
2023,12,6,11,39.78191
2023,12,6,12,36.4435
2023,12,6,13,35.63937
2023,12,6,14,35.61953
2023,12,6,15,44.35062
2023,12,6,16,63.23305
2023,12,6,17,70.86817
2023,12,6,18,70.97603
2023,12,6,19,65.74521
2023,12,6,20,65.35638
2023,12,6,21,64.73988
2023,12,6,22,64.13502
2023,12,6,23,55.64055
2023,12,6,24,55.12871
2023,12,7,1,48.96139
2023,12,7,2,45.34279
2023,12,7,3,45.43693
2023,12,7,4,45.54374
2023,12,7,5,46.06185
2023,12,7,6,52.36862
2023,12,7,7,65.98331
2023,12,7,8,53.93507
2023,12,7,9,43.60738
2023,12,7,10,31.40463
2023,12,7,11,33.16989
2023,12,7,12,28.48462
2023,12,7,13,28.12848
2023,12,7,14,29.59257
2023,12,7,15,33.91389
2023,12,7,16,53.2162
2023,12,7,17,63.51904
2023,12,7,18,67.39494
2023,12,7,19,62.42252
2023,12,7,20,62.15338
2023,12,7,21,61.4894
2023,12,7,22,61.49552
2023,12,7,23,56.98996
2023,12,7,24,55.60132
2023,12,8,1,48.73825
2023,12,8,2,46.95099
2023,12,8,3,44.91292
2023,12,8,4,44.66314
2023,12,8,5,44.7869
2023,12,8,6,48.67584
2023,12,8,7,64.41185
2023,12,8,8,55.31071
2023,12,8,9,37.97733
2023,12,8,10,30.65644
2023,12,8,11,27.35253
2023,12,8,12,22.37017
2023,12,8,13,20.88121
2023,12,8,14,22.71497
2023,12,8,15,27.63127
2023,12,8,16,52.84384
2023,12,8,17,66.23954
2023,12,8,18,68.16195
2023,12,8,19,66.52217
2023,12,8,20,66.65374
2023,12,8,21,66.66068
2023,12,8,22,66.63501
2023,12,8,23,65.37502
2023,12,8,24,60.61831
2023,12,9,1,47.98081
2023,12,9,2,48.01211
2023,12,9,3,47.90469
2023,12,9,4,45.23746
2023,12,9,5,44.93987
2023,12,9,6,48.6218
2023,12,9,7,57.37936
2023,12,9,8,45.75617
2023,12,9,9,39.93628
2023,12,9,10,20.07579
2023,12,9,11,19.55722
2023,12,9,12,18.18684
2023,12,9,13,18.31427
2023,12,9,14,18.7637
2023,12,9,15,19.80985
2023,12,9,16,40.79074
2023,12,9,17,60.75355
2023,12,9,18,61.77538
