Year,Month,Day,Hour,LMP
2024,6,1,1,27.91045
2024,6,1,2,25.51463
2024,6,1,3,25.631993333333337
2024,6,1,4,25.917753333333334
2024,6,1,5,22.55356
2024,6,1,6,26.424786666666666
2024,6,1,7,16.04642
2024,6,1,8,-3.491903333333333
2024,6,1,9,-14.841893333333331
2024,6,1,10,-18.61975
2024,6,1,11,-19.498653333333333
2024,6,1,12,-21.354946666666667
2024,6,1,13,-22.45455
2024,6,1,14,-21.888236666666668
2024,6,1,15,-21.33108
2024,6,1,16,-19.134240000000002
2024,6,1,17,-16.91648
2024,6,1,18,-6.276523333333333
2024,6,1,19,11.620933333333333
2024,6,1,20,28.085520000000002
2024,6,1,21,36.99753666666667
2024,6,1,22,35.02475999999999
2024,6,1,23,23.29208
2024,6,1,24,22.610083333333336
2024,6,2,1,26.99504
2024,6,2,2,26.50845666666667
2024,6,2,3,22.94409333333333
2024,6,2,4,19.77416
2024,6,2,5,20.148300000000003
2024,6,2,6,18.879133333333332
2024,6,2,7,6.2723
2024,6,2,8,-13.580356666666667
2024,6,2,9,-24.643893333333335
2024,6,2,10,-26.94707
2024,6,2,11,-26.82886666666667
2024,6,2,12,-26.927346666666665
2024,6,2,13,-28.35851
2024,6,2,14,-25.554780000000004
2024,6,2,15,-24.913433333333334
2024,6,2,16,-21.998079999999998
2024,6,2,17,-12.440373333333335
2024,6,2,18,0.171023333333333
2024,6,2,19,20.904086666666668
2024,6,2,20,35.63614666666667
2024,6,2,21,44.983016666666664
2024,6,2,22,38.25877666666667
2024,6,2,23,27.46316333333333
2024,6,2,24,26.90339333333333
2024,6,3,1,29.999929999999996
2024,6,3,2,27.657799999999998
2024,6,3,3,28.85544333333333
2024,6,3,4,26.25418
2024,6,3,5,30.281746666666663
2024,6,3,6,33.65117
2024,6,3,7,22.26458666666667
2024,6,3,8,3.9910533333333333
2024,6,3,9,0.6107966666666668
2024,6,3,10,-4.204196666666666
2024,6,3,11,-4.65915
2024,6,3,12,-10.072486666666668
