Year,Month,Day,Hour,$/MWh
2022,7,1,1,70.70564
2022,7,1,2,65.39378
2022,7,1,3,64.18736
2022,7,1,4,61.6392
2022,7,1,5,62.38411
2022,7,1,6,66.65615
2022,7,1,7,65.42743
2022,7,1,8,57.17307
2022,7,1,9,47.87122
2022,7,1,10,45.00311
2022,7,1,11,48.23064
2022,7,1,12,54.76391
2022,7,1,13,56.25245
2022,7,1,14,57.40535
2022,7,1,15,60.02228
2022,7,1,16,60.05759
2022,7,1,17,62.28957
2022,7,1,18,67.68547
2022,7,1,19,81.78049
2022,7,1,20,98.9328
2022,7,1,21,96.73352
2022,7,1,22,87.87697
2022,7,1,23,72.78633
2022,7,1,24,64.12746
2022,7,2,1,62.63137
2022,7,2,2,59.42891
2022,7,2,3,57.49834
2022,7,2,4,54.8233
2022,7,2,5,54.65695
2022,7,2,6,56.32835
2022,7,2,7,56.52389
2022,7,2,8,39.93
2022,7,2,9,28.41777
2022,7,2,10,26.41838
2022,7,2,11,26.48312
2022,7,2,12,28.96417
2022,7,2,13,31.46427
2022,7,2,14,33.88801
2022,7,2,15,36.95775
2022,7,2,16,43.38883
2022,7,2,17,44.66567
2022,7,2,18,53.36161
2022,7,2,19,65.64424
2022,7,2,20,89.08082
2022,7,2,21,91.27552
2022,7,2,22,81.79747
2022,7,2,23,64.02652
2022,7,2,24,55.91527
2022,7,3,1,52.30642
2022,7,3,2,52.62
2022,7,3,3,50.85
2022,7,3,4,50.85
2022,7,3,5,50.85
2022,7,3,6,50.85
2022,7,3,7,45.32355
2022,7,3,8,15.69778
2022,7,3,9,8.24577
2022,7,3,10,6.38794
2022,7,3,11,7.48266
2022,7,3,12,8.06594
2022,7,3,13,7.22002
2022,7,3,14,8.64819
2022,7,3,15,10.75502
2022,7,3,16,15.6411
2022,7,3,17,20.39335
2022,7,3,18,37.83948
2022,7,3,19,57.40741
2022,7,3,20,82.24964
2022,7,3,21,90.12982
2022,7,3,22,82.3463
2022,7,3,23,65.57009
2022,7,3,24,60.93144
2022,7,4,1,49.3076
2022,7,4,2,50.41748
2022,7,4,3,49.02441
2022,7,4,4,48.13648
2022,7,4,5,48.41746
2022,7,4,6,50.00457
2022,7,4,7,46.90385
2022,7,4,8,15.66519
2022,7,4,9,7.56665
2022,7,4,10,7.10573
2022,7,4,11,8.37969
2022,7,4,12,9.0017
2022,7,4,13,8.03617
2022,7,4,14,11.89683
2022,7,4,15,13.27899
2022,7,4,16,21.02574
2022,7,4,17,28.35185
2022,7,4,18,44.17796
2022,7,4,19,63.11706
2022,7,4,20,78.6159
2022,7,4,21,86.0
2022,7,4,22,77.53715
2022,7,4,23,62.7394
2022,7,4,24,59.94969
2022,7,5,1,53.9347
2022,7,5,2,51.76471
2022,7,5,3,50.27497
2022,7,5,4,50.31776
2022,7,5,5,50.69313
2022,7,5,6,55.88359
2022,7,5,7,63.73739
2022,7,5,8,55.96417
2022,7,5,9,45.69562
2022,7,5,10,44.23584
