Year,Month,Day,OPR_HR,RENEWABLE_TYPE,MW
2023,10,1,1,Solar,58.68
2023,10,1,1,Wind,1755.17
2023,10,1,2,Solar,53.31
2023,10,1,2,Wind,1645.65
2023,10,1,3,Solar,50.19
2023,10,1,3,Wind,1568.52
2023,10,1,4,Solar,47.04
2023,10,1,4,Wind,1512.83
2023,10,1,5,Solar,42.63
2023,10,1,5,Wind,1455.0500000000002
2023,10,1,6,Solar,38.97
2023,10,1,6,Wind,1383.31
2023,10,1,7,Solar,67.85000000000001
2023,10,1,7,Wind,1305.4099999999999
2023,10,1,8,Solar,2699.62
2023,10,1,8,Wind,1243.78
2023,10,1,9,Solar,8454.710000000001
2023,10,1,9,Wind,1208.85
2023,10,1,10,Solar,10906.38
2023,10,1,10,Wind,1195.28
2023,10,1,11,Solar,11642.02
2023,10,1,11,Wind,1185.87
2023,10,1,12,Solar,11773.109999999999
2023,10,1,12,Wind,1160.08
2023,10,1,13,Solar,11605.35
2023,10,1,13,Wind,1139.72
2023,10,1,14,Solar,11391.98
2023,10,1,14,Wind,1173.62
2023,10,1,15,Solar,11149.960000000001
2023,10,1,15,Wind,1275.3300000000002
2023,10,1,16,Solar,10425.24
2023,10,1,16,Wind,1442.58
2023,10,1,17,Solar,8907.1
2023,10,1,17,Wind,1707.02
2023,10,1,18,Solar,4510.96
2023,10,1,18,Wind,1993.25
2023,10,1,19,Solar,475.79999999999995
2023,10,1,19,Wind,2122.45
2023,10,1,20,Solar,50.42
2023,10,1,20,Wind,2140.94
2023,10,1,21,Solar,47.01
2023,10,1,21,Wind,2211.15
2023,10,1,22,Solar,48.18
2023,10,1,22,Wind,2249.33
2023,10,1,23,Solar,49.68
2023,10,1,23,Wind,2229.36
2023,10,1,24,Solar,44.67
2023,10,1,24,Wind,2176.73
2023,10,2,1,Solar,45.51
2023,10,2,1,Wind,2205.7
2023,10,2,2,Solar,46.11
2023,10,2,2,Wind,2208.52
2023,10,2,3,Solar,45.21
2023,10,2,3,Wind,2108.0
2023,10,2,4,Solar,42.45
2023,10,2,4,Wind,1970.48
2023,10,2,5,Solar,39.36
2023,10,2,5,Wind,1804.35
2023,10,2,6,Solar,36.27
2023,10,2,6,Wind,1617.8999999999999
2023,10,2,7,Solar,61.9
2023,10,2,7,Wind,1416.49
2023,10,2,8,Solar,2785.4799999999996
2023,10,2,8,Wind,1185.8700000000001
2023,10,2,9,Solar,9084.98
2023,10,2,9,Wind,896.31
2023,10,2,10,Solar,11652.360000000002
2023,10,2,10,Wind,618.99
2023,10,2,11,Solar,12539.99
2023,10,2,11,Wind,439.65
2023,10,2,12,Solar,12727.76
2023,10,2,12,Wind,341.25
2023,10,2,13,Solar,12740.980000000001
2023,10,2,13,Wind,301.37
2023,10,2,14,Solar,12744.36
2023,10,2,14,Wind,352.21000000000004
2023,10,2,15,Solar,12578.410000000002
2023,10,2,15,Wind,544.0
2023,10,2,16,Solar,11981.26
2023,10,2,16,Wind,869.98
2023,10,2,17,Solar,10243.15
2023,10,2,17,Wind,1229.86
2023,10,2,18,Solar,4811.13
2023,10,2,18,Wind,1569.74
2023,10,2,19,Solar,445.36
2023,10,2,19,Wind,1835.3999999999999
2023,10,2,20,Solar,28.69
2023,10,2,20,Wind,1936.6399999999999
2023,10,2,21,Solar,24.15
2023,10,2,21,Wind,1929.64
2023,10,2,22,Solar,21.03
2023,10,2,22,Wind,1803.45
2023,10,2,23,Solar,18.78
2023,10,2,23,Wind,1635.61
2023,10,2,24,Solar,16.41
2023,10,2,24,Wind,1477.25
2023,10,3,1,Solar,13.08
2023,10,3,1,Wind,1231.3400000000001
2023,10,3,2,Solar,8.58
2023,10,3,2,Wind,1015.9
2023,10,3,3,Solar,7.74
2023,10,3,3,Wind,823.97
2023,10,3,4,Solar,6.93
2023,10,3,4,Wind,672.71
2023,10,3,5,Solar,6.03
2023,10,3,5,Wind,547.3199999999999
2023,10,3,6,Solar,5.25
2023,10,3,6,Wind,440.71
2023,10,3,7,Solar,32.45
2023,10,3,7,Wind,346.65000000000003
2023,10,3,8,Solar,2735.72
2023,10,3,8,Wind,232.1
2023,10,3,9,Solar,9204.32
2023,10,3,9,Wind,146.89000000000001
2023,10,3,10,Solar,11816.87
2023,10,3,10,Wind,96.88000000000001
2023,10,3,11,Solar,12726.480000000001
2023,10,3,11,Wind,81.52
2023,10,3,12,Solar,12988.859999999999
2023,10,3,12,Wind,78.61
2023,10,3,13,Solar,12999.58
