Time,Year,Month,Day,Hour,Timezone,Wind Onshore,Solar
2022-07-01 00:00:00+02:00,2022,7,1,0,+02:00,2134.0,0.0
2022-07-01 01:00:00+02:00,2022,7,1,1,+02:00,2205.0,0.0
2022-07-01 02:00:00+02:00,2022,7,1,2,+02:00,2277.0,0.0
2022-07-01 03:00:00+02:00,2022,7,1,3,+02:00,2262.0,0.0
2022-07-01 04:00:00+02:00,2022,7,1,4,+02:00,2247.0,0.0
2022-07-01 05:00:00+02:00,2022,7,1,5,+02:00,2231.0,0.0
2022-07-01 06:00:00+02:00,2022,7,1,6,+02:00,2094.0,7.0
2022-07-01 07:00:00+02:00,2022,7,1,7,+02:00,1957.0,613.0
2022-07-01 08:00:00+02:00,2022,7,1,8,+02:00,1821.0,2032.0
2022-07-01 09:00:00+02:00,2022,7,1,9,+02:00,1817.0,4306.0
2022-07-01 10:00:00+02:00,2022,7,1,10,+02:00,1813.0,6662.0
2022-07-01 11:00:00+02:00,2022,7,1,11,+02:00,1809.0,8399.0
2022-07-01 12:00:00+02:00,2022,7,1,12,+02:00,1893.0,9509.0
2022-07-01 13:00:00+02:00,2022,7,1,13,+02:00,1977.0,10005.0
2022-07-01 14:00:00+02:00,2022,7,1,14,+02:00,2063.0,10001.0
2022-07-01 15:00:00+02:00,2022,7,1,15,+02:00,1948.0,9409.0
2022-07-01 16:00:00+02:00,2022,7,1,16,+02:00,1834.0,8686.0
2022-07-01 17:00:00+02:00,2022,7,1,17,+02:00,1718.0,7405.0
2022-07-01 18:00:00+02:00,2022,7,1,18,+02:00,1549.0,5684.0
2022-07-01 19:00:00+02:00,2022,7,1,19,+02:00,1380.0,3530.0
2022-07-01 20:00:00+02:00,2022,7,1,20,+02:00,1212.0,1573.0
2022-07-01 21:00:00+02:00,2022,7,1,21,+02:00,1189.0,345.0
2022-07-01 22:00:00+02:00,2022,7,1,22,+02:00,1166.0,0.0
2022-07-01 23:00:00+02:00,2022,7,1,23,+02:00,1144.0,0.0
2022-07-02 00:00:00+02:00,2022,7,2,0,+02:00,1099.0,0.0
2022-07-02 01:00:00+02:00,2022,7,2,1,+02:00,1063.0,0.0
2022-07-02 02:00:00+02:00,2022,7,2,2,+02:00,1029.0,0.0
2022-07-02 03:00:00+02:00,2022,7,2,3,+02:00,1071.0,0.0
2022-07-02 04:00:00+02:00,2022,7,2,4,+02:00,1114.0,0.0
2022-07-02 05:00:00+02:00,2022,7,2,5,+02:00,1158.0,0.0
2022-07-02 06:00:00+02:00,2022,7,2,6,+02:00,1339.0,11.0
2022-07-02 07:00:00+02:00,2022,7,2,7,+02:00,1520.0,707.0
2022-07-02 08:00:00+02:00,2022,7,2,8,+02:00,1702.0,2239.0
2022-07-02 09:00:00+02:00,2022,7,2,9,+02:00,1395.0,4601.0
2022-07-02 10:00:00+02:00,2022,7,2,10,+02:00,1088.0,6917.0
2022-07-02 11:00:00+02:00,2022,7,2,11,+02:00,783.0,8648.0
2022-07-02 12:00:00+02:00,2022,7,2,12,+02:00,807.0,9767.0
